Id	Tweets	Lang	Location
1225645150690402306	RT @Madhuripanday3: Humare desh ki society ek bahot purani viral rog se sadiyo se grast hai.aur sadhiyo  se ye rog badhta ja raha hai itna…	hi	Presidents Estate, New Delhi
1225641917108477952	Humare desh ki society ek bahot purani viral rog se sadiyo se grast hai.aur sadhiyo  se ye rog badhta ja raha hai i… https://t.co/pTjhB2MA4z	hi	India
1225627782723424256	@007AliSohrab Hur ek taur tarike azmaynge ye log zaroorat padhe to gender bhi chang kar skte hy 🧐	hi	aurangabad maharashtra
1225622863916388352	@Dr_Uditraj हर विषय में जाती gender इत्यादि लाने की जरूरत नहीं है। सरकार ने अच्छा फैसला लिया है।हमेशा समझ को तोड के… https://t.co/EPT1WAi0Bz	hi	Gurgaon, India
1225617265648783361	RT @GaindaSwamy: @Dhakad_Chhorii Gender change krwa rha hai bhai?	hi	वाराणसी/काशी /बनारस 
1225614473232207873	@RorRashmi Ha sahi kaha sb ek jaise nhi hote isliye gender pe nhi logo pe yakeen mt kro ldkiya bhi hoti hai aisa😒😒😒	hi	बिहार, 🔃पंजाब 
1225601251016003584	@Dr_Uditraj Aapko koi n koi taklif rahti h. Ky committee mai gender Ko bhi defined kya. Aap hamesha SC/ST ki rajnit… https://t.co/r23hTjoGzR	hi	
1225546841535787016	"@Dr_Uditraj Chu**ye,
Gender Equality Ka Matlab Sirf Sonia Gandhi Ya Rahul Gandhi ya Priyanka Gandhi nahi hai?😀"	hi	
1225530399423705089	"@StonerPsychic Kabhi kabhi mujhe lagata hai twitter pe account maine sirf apna gender batane ke liye banaya hai..
K… https://t.co/TENVPQ6A24"	hi	
1225521814715224067	@WarTillDeath Samjh araha hai bro!!!itna cheezo kho serious math liya karo!!!or woh bhi opposite gender kai bare mai	hi	KPK 
1225507386951192578	@ArshiKOfficial Apne aap ko dekh dusro ko hathi bolne wali khud third gender lgti h	hi	
1225506895093473283	RT @fakkolayano: @SusanIbrahim Rahrashuge gender aa fuluhunge thanthanun emeehunaa aailee maslahathu huri meehunge massalathah maithanah na…	hi	100% Tuna. Maldives 
1225492783403864065	@SusanIbrahim Rahrashuge gender aa fuluhunge thanthanun emeehunaa aailee maslahathu huri meehunge massalathah maith… https://t.co/nszcTuBBR0	hi	
1225480843474370560	@shahnoorsarfraz @Da_sarmast Na g ap mein to churail ho sakti hae warna gender change ho jaye ga	hi	Pakistan
1225480689774190594	@Ansh39615780 Tu pehle apni gender sahi kar! Asim bolna bhi tumhare muh se sahi nahi lagta. #AsimForTheWin… https://t.co/rf7xwsrQVn	hi	
1225475650334679041	@SbkiFavourite Wo mera gender change krane k chakkar mai hai😏😏apne bhai/best frnd ko bol 😏😏aisha ko bolna sara ko jo yad rehty hain tujhy😏🙄	hi	
1225465847235403783	@Dr_Uditraj Sunn tu gender change kara le apna male se shemale ban jaa..teri shifarish mai kar deta hu pmo mai	hi	New Delhi, India
1225465051730939905	@Dr_Uditraj Ek yehi hai thekedaar har samudaye, har gender, har dharm ke. Santosh karna seekhe aap!	hi	New Delhi, India
1225463407463190528	RT @shankarmore28: @SataymevJ ये बंधन है बाप बेटिका, मोठाभाई कॅब kab लावोगे यश देशके स्वातंत्रताका?👍👌 देखो इश प्यारसेही मनकी बात उभारकर आये…	hi	Mumbai 
1225461254497505280	Gender ministry aa kama behey faraaithakugai othee kankamun rekumuge aadha kaadha: ziyadh | #FalaSurukhee @Raajje_tv https://t.co/SUdOGcFIn4	hi	Maldives
1225457507574771712	@Dhakad_Chhorii Gender change krwa rha hai bhai?	hi	Sector 2, Switzerland
1225446856265621505	@SocialChartered Ab toh naam se gender bhi pta nai chalta😂	hi	Surat, India
1225446447673249793	"@SMQureshiPTI Hannnnn
Yaha humanity nazar nahi aati tumhey

Abey aatey Dal Aur cooking oil Pak awam ko sahi s nahi… https://t.co/RHL0ea4ztc"	hi	Jaipur, India
1225440914342109184	Mujy tou phle he iski gender py shak tha https://t.co/ruAqNPlT5R	hi	
1225437607783362560	"RT @lallkajal: #लालू ने कहा था पलटूराम, अब #तेजप्रताप ने cm नीतीश को दिया नया नाम, बदल दिया gender
#cmnitishkumar  #लालूप्रसादयादव #tejprat…"	hi	Chhattisgarh, India
1225431413651996672	@wkyshah Gender 😂🤣 soch smjh kar likho bhai	hi	imagination ❤️
1225425293675909121	@ibramandhu Bayakah heevanee Gender nisbaiy vanee anhenunnah ekani kamah thoche.	hi	Maldives
1225421868355637249	@AsimRiazs Ek dam unhonY gender bhi badal diye😂😂😂	hi	
1225420025902714880	"I agree with @ShimranAb 

Gender Ministry hingan naagaabiluvaahaka gina rayyithun bunamun dhanee https://t.co/himn8EoWrY"	hi	Addu City
1225419419876151297	"@Naveens37410004 @real_khabri_1 @OberoiMall Bhai tera bhi sahi hai
""Gender change karwake aya"" se seedha ""behen""😂😂😂😂"	hi	Vadodara
1225415805686312961	"@LucianRasheed Ppl:
Hukuru thakun, Aavi thadhaa...
Hukuru Sidhoo, Faave mithaa...
Biruverikan hithugaa veeye vashaa… https://t.co/F2KvkC4T9j"	hi	
1225414677276045312	@real_khabri_1 @OberoiMall Abe saale gender change karwaake aaya tu wha se.	hi	India
1225409364011307010	RT @dharmendrawords: बहुत ख़ूब,✍️🇮🇳 #No_Gender_Discrimination	hi	
1225404723731271680	@MizSlay @Kurleen3 @artijmakwana @DrNupurrk @ColorsTV @justvoot @Vivo_India @BeingSalmanKhan Bhai hmne kbhii v aise… https://t.co/ASfoHs7A59	hi	India
1225397114697650176	@Praveenpvg1 @Shirin_Afruj @RVCJ_FB Asim k Gender ki itni fikar hai tujhe to apni behn ya wife ko sulao Asim k sath… https://t.co/vFV4QwCcuD	hi	
1225391692913594368	@a_nadraa @aisthu Sidhathage maigandu mahsala akee Gender minister ge farathun kuranjehey kankan nukoah huri hurun.… https://t.co/X8S4e5DeUQ	hi	
1225390480097239040	RT @NishigandhaNig1: @saiba801 @Gayatriangel2 @Rishuu_34 @Arcaneeyes Wah apni bewakoofi ki proof khud hi de rho ho... Wah kya soch h apki..…	hi	
1225388500092100608	"@fadnavis_amruta @OfficeofUT Tumhi changlya law chi vaat lavli. Ata tond var karun yayala laj kashi vatat nahi.

https://t.co/VZsXG2URUd"	hi	
1225388312501702656	"@sambitswaraj Mitro!!
Lo kardiye discriminate on gender base!!!
Tu samjhta hai desh sirf admi log hi chala rahe hai !!
Bustard patra"	hi	
1225383242120880128	"भ्रूण लिंग जांच के लिए मांगे 50 हजार, बिना जांचे बताया लड़की है, हुआ Arrest
#FetusSex_Testing… https://t.co/YDV4eQA8xH"	hi	Kangra, Himachal Pradesh
1225379906000809984	RT @NishigandhaNig1: @saiba801 @Gayatriangel2 @Rishuu_34 @Arcaneeyes Wah apni bewakoofi ki proof khud hi de rho ho... Wah kya soch h apki..…	hi	
1225379817043836929	RT @NazaquatParveen: @Aditi16166 @shivikacraze123 Yaha par bhi gender equality nahi hai, Kuch logo ki soach bauth hi ghatiya hai k, Jo abhi…	hi	Punjab, India
1225374451149066241	RT @NazaquatParveen: @Aditi16166 @shivikacraze123 Yaha par bhi gender equality nahi hai, Kuch logo ki soach bauth hi ghatiya hai k, Jo abhi…	hi	
1225374326016204801	@Thecuteststar @imrealasim @RealVinduSingh @viacom18 @ColorsTV Janani h tu pura..chee chee gender ka tender neii bh… https://t.co/GE5sPaBdHo	hi	
1225373176235884546	RT @dharmendrawords: बहुत ख़ूब,✍️🇮🇳 #No_Gender_Discrimination	hi	mumbai
1225369438997762048	RT @punjabi_kudi22: मोह्बबत उम्र और gender नहीं देखती	hi	Transylvania, Romania
1225364982075969536	RT @NazaquatParveen: @Aditi16166 @shivikacraze123 Yaha par bhi gender equality nahi hai, Kuch logo ki soach bauth hi ghatiya hai k, Jo abhi…	hi	
1225364001942425600	RT @NazaquatParveen: @Aditi16166 @shivikacraze123 Yaha par bhi gender equality nahi hai, Kuch logo ki soach bauth hi ghatiya hai k, Jo abhi…	hi	
1225363638107570176	मोह्बबत उम्र और gender नहीं देखती https://t.co/DrdnbVYVtJ	hi	Punjab, India
1225360593529425920	RT @Muday68468878: Gender minister shidhathaa e kamanaage masooliyyathah ihmaalu vejje kamah bune ekamanaa magaamun dhurukuran ninmmi iru R…	hi	
1225355240297222144	Read this comment and sign the petition. मैने इस याचिका को समर्थन इसलिए दिया क्योंकि मैने आज सुबह ही इस विषय पर आर्… https://t.co/VBHz8mVzoF	hi	Lucknow, India
1225345118603010048	@Real_Anuj भाई तू सब से पहले अपना gender चेक करवा जोशी जी की कुल्फी मुँह मैं ले के असर पूरे कन्या ओ जेसे हो लिए है तेरे 😀	hi	
